author_name,book_url,category_name,crawl_time,is_vip,monthly_ticket_count,rank,reward_count,sign_status,source_site,status,sub_category_name,synopsis,title,total_recommend_str,total_recommendation_count,week_recommend,week_recommendation_count,word_count,word_count_str,ticket_per_10k,heat_ratio,loyalty_score,status_score
鹤守月满池,https://www.qidian.com/book/1043182343/,玄幻,2025-12-17 17:26:51,True,87493,1,112,签约,qidian_cookie_detail,连载,东方玄幻,吕阳穿越修仙界，却成了魔门初圣宗的弟子。幸得异宝【百世书】，死后可以重开一世，让一切从头再来，还能带回前世的宝物，修为，寿命，甚至觉醒特殊的天赋。奈何次数有限，并非真的不死不灭。眼见修仙界乱世将至，吕阳原本决定先在魔门苟住，一世世苦修，不成仙不出山，奈何魔门凶险异常，遍地都是人材。第一世，吕阳惨遭师姐暗算。第二世，好不容易反杀师姐，又遭师兄毒手。第三世，第四世……直到百世之后，再回首，吕阳才发现自己已经成为了一代魔道巨擘，初圣宗里最畜生的那一个。“魔门个个都是人材，说话又好听。”“我超喜欢这里的！”,苟在初圣魔门当人材,149.33万,1493300,13154,13154,2970800,297.08万,293.52187332259797,0.008808672866354473,0.0012800877774475964,1.0
辰东,https://www.qidian.com/book/1040765595/,玄幻,2025-12-17 17:26:51,True,52102,2,79,签约,qidian_cookie_detail,连载,东方玄幻,那一天太阳落下再也没有升起…………………,夜无疆,817.67万,8176700,34647,34647,2597300,259.73万,199.8312430483642,0.004237283471659291,0.0015162274725063817,1.0
关关公子,https://www.qidian.com/book/1039457453/,玄幻,2025-12-17 17:26:51,True,15436,3,38,签约,qidian_cookie_detail,连载,东方玄幻,“事情是这样的，我当初身陷绝境，意外遇见了一条龙，它非说我是习武奇才，要给我指条通仙大道……”“这就是你挖开魔神陵，给妖魔当奴仆的理由？！”“我谢尽欢从不屈居人下，它才是奴仆，准确来说，我是被一条龙服务过……”……已有完本万订《世子很凶》《仙子很凶》《女侠且慢》，感兴趣的朋友可以先看老书~,鸣龙,159.86万,1598600,8520,8520,1824800,182.48万,84.1290603880532,0.005329660121568797,0.002461618190062836,1.0
在水中的纸老虎,https://www.qidian.com/book/1045003390/,玄幻,2025-12-17 17:26:51,True,17418,4,6,签约,qidian_cookie_detail,连载,东方玄幻,命格在手，苟道求生！陈庆穿越了，却穿进一个武道为尊、人命贱如草的乱世。开局便是哑子湾的贫苦渔家子，父亲被抓徭役杳无音信，孤儿寡母被官府税赋与帮派“龙王香火”层层盘剥，挣扎在饿死的边缘。天无绝人之路，他脑海中悬着一道【命格：天道酬勤，必有所成】！这意味着任何技艺，对他而言没有资质门槛，没有瓶颈阻隔，只要付出，必有回报！,苟在武道世界成圣,21.58万,215799,2861,2861,1896100,189.61万,91.3803053355018,0.013257645968489343,0.0003444514610482806,1.0
甲壳蚁,https://www.qidian.com/book/1037570737/,玄幻,2025-12-17 17:26:51,True,14590,5,14,签约,qidian_cookie_detail,连载,东方玄幻,【已有完结七千均大精品，品质保障，放心阅读。】选择大于努力！武师们为陆地宝树打的头破血流，深水神草却无人问津。穿越成渔民的梁渠获得水泽之鼎，炼化【水猴子】天赋，统御水兽，一路收割，踏上巅峰！【水猴子】→【泽狨】→【水王猿】→【淮涡水君】！从此万里泽涛由我做主！…………洪水滔滔。人们跪拜祈福，献上祭品。“求水神大人保佑......”靠，能不能别向我祭祀少女了，我真不是水神啊！,从水猴子开始成神,155.45万,1554500,4358,4358,3632600,363.26万,40.05380771976061,0.0028034719823274478,0.0009594955794667946,1.0
苍天霸主,https://www.qidian.com/book/1038440253/,玄幻,2025-12-17 17:26:52,True,1985,6,11,签约,qidian_cookie_detail,连载,东方玄幻,（又名《玄灵天帝》方辰）”江凡，我后悔了！“当许怡宁发现，自己宁死不嫁的窝囊未婚夫，娶了姐姐，将她培养成一代女帝时，她后悔了。如果时间可以重来，她一定不会任性的让姐姐替嫁！,太虚至尊,27.82万,278200,1415,1415,4673000,467.3万,4.238735853085629,0.005086250588603204,0.0055387713997985906,1.0
会说话的肘子,https://www.qidian.com/book/1033014772/,玄幻,2025-12-17 17:26:52,True,14523,7,27,签约,qidian_cookie_detail,连载,东方玄幻,少时光阴长，泼酒翻红巷。权为砖墙利为瓦，宾朋倚满帐。醒来恨日短，大梦二十转。忽觉同行常八九，真心无二三。噫吁兮，听雪孤舟上，坐看天地远。,青山,218.87万,2188700,4501,4501,1749800,174.98万,82.52642345721105,0.002056470938698342,0.0018589920132194987,1.0
烟雨江南,https://www.qidian.com/book/1038996214/,玄幻,2025-12-17 17:26:52,True,14444,8,19,签约,qidian_cookie_detail,连载,东方玄幻,卫渊本无大志，但在时代洪流中不得不走上征战四方、开疆辟土之路，直至关山踏尽，未曾白头。不正经的简介一：仙人也怕工业化！这是一个发生在玄幻世界的工业革命的故事。,龙藏,173.18万,1731800,5421,5421,3287200,328.72万,43.806866432124224,0.0031302672766674693,0.0013153340256143995,1.0
误道者,https://www.qidian.com/book/1037676014/,玄幻,2025-12-17 17:26:52,True,7239,9,9,签约,qidian_cookie_detail,连载,东方玄幻,如果人类的生命可以一直强大下去，无限拔高，那终有一日能与天相接！…………《天人图谱》书友群，群号：（535311175）,天人图谱,323.34万,3233399,5943,5943,5225500,522.55万,13.826759621812627,0.0018380033401373167,0.0012430939226519336,1.0
宅猪,https://www.qidian.com/book/1039994731/,玄幻,2025-12-17 17:26:52,True,4378,10,5,签约,qidian_cookie_detail,连载,东方玄幻,我的爷爷很古怪，他每天给自己上香，站在自己的灵位前吃蜡烛。村里的人都很怕爷爷。我也很怕爷爷。后来我才发现，他们害怕的不是爷爷，而是我。爷爷也很怕我。……我叫陈实。诚实的陈，老实的实。来阅文旗下网站阅读我的更多作品吧！,大道之上,308.41万,3084100,3417,3417,3237000,323.7万,13.483215275639052,0.0011079403690086673,0.0011418131993605847,1.0
神威校尉,https://www.qidian.com/book/1039640376/,玄幻,2025-12-17 17:26:53,True,2998,11,0,签约,qidian_cookie_detail,连载,东方玄幻,【全新设定】【体系完善】一觉醒来，你成为了玄幻游戏中的【司农】官。【王朝鼎盛】版本：你苦修《节气令》，从【风调雨顺】到【呼风唤雨】、从【五谷丰登】到【万物生长】、号令四季，默默发育。你小有成就，随军出征、掌《四农书》，冰封千里大河，为大军开道，《瘴气》杀敌，《雾影》阻万军，立不世战功，位居大司农，窃王朝命数，尽归吾身。【灵气复苏】版本：你养育【山精野怪】：双生并蒂莲使你水火不侵，七星剑竹一剑光寒十九州、寄生种以生灵为养分、虚空种扎根空间吸收天地灵气……你开辟内景地，育仙种，【太乙神莲】分身千万！【生命古树】不死不灭！“一粒真种落丹田，可育灵苗活万年，有朝一日功行满，我命由我不由天！”“心火日照，肾水为源，脾为土蔵、肺金练气、肝气养神。以身为基，育原生种、养万法，成就神农道君！”,神农道君,120.69万,1206900,1082,1082,4798800,479.88万,6.234403593412078,0.0008965109814309542,0.0,1.0
狐尾的笔,https://www.qidian.com/book/1045191725/,玄幻,2025-12-17 17:26:53,True,4518,12,6,签约,qidian_cookie_detail,连载,东方玄幻,伴随着时间的冲刷，张文达总感觉有些记忆里的东西变得抽象了起来，他不知道真是这样，还是记忆的曲解。然而当他忽然再次面对那些东西的时候，他发现这个世界变得不对劲起来。,旧域怪诞,28.63万,286300,2538,2538,703199,70.32万,63.3483782226279,0.008864796141124202,0.0013277273733126797,1.0
阎ZK,https://www.qidian.com/book/1044839471/,玄幻,2025-12-17 17:26:53,True,3126,13,7,签约,qidian_cookie_detail,连载,东方玄幻,妖魔，神仙，志怪，江湖。酒馆当中，胡人酒女笑着避开旁人手掌，裙下尾巴晃动；夜市之内，兜帽下面也不知几个是人，几个是鬼；山川上头走猛虎，洞庭湖里老龙眠。一把剑，一个人，一卷书。路在前方，道在心里，而剑在手上。斩妖除魔，仙神退避。真君驾到，百无禁忌。,真君驾到,17.54万,175400,995,995,1700000,170万,18.280701754385966,0.005672715662966574,0.002238567316917173,1.0
鹦鹉咬舌,https://www.qidian.com/book/1032634963/,玄幻,2025-12-17 17:26:53,True,4159,14,9,签约,qidian_cookie_detail,连载,东方玄幻,散落大地的神秘奇诡之剑，等待着它们名动天下的剑主。谁人又能勘悟流传万古的奇术绝经？长安百坊间暗藏举火吞日之人，中原坐落着庞大腐朽的千年世家，北境沉默悍战的荒人磨刀霍霍，南方列国之间歌舞升平尔虞我诈……而在高远青冥之上，一双笼罩世间的苍目正在缓缓睁开。裴液抬着头拔出腹中的长剑：“太一真龙仙君……就让我们看看，到底谁是谁的食物吧。”,食仙主,44.86万,448600,1367,1367,3080100,308.01万,13.45911135561956,0.0030472513436216146,0.0021634615384615386,1.0
林守镜,https://www.qidian.com/book/1046432773/,玄幻,2025-12-17 17:26:54,True,10468,15,5,签约,qidian_cookie_detail,连载,东方玄幻,大新民国三年，时局崩裂。南方政府初立，北方军阀割据混战。西洋铁舰叩关，前朝幽魂不散。这是一个火枪与筋骨争锋、乱党与邪祟共舞的时代——革命暗潮之下，民间邪教滋生，兵武、妖魔、异兽、殖装铁躯…滂沱雨夜，盛海租界。傅觉民立于倾颓的巨厦废墟中，缓缓将双手从面前五米高、白头赤足的猿形巨怪胸膛中一点点抽出。血水混着雨水自他指尖滴落。“山海遗种，苍生余孽。”“吞了这只蕴含一丝朱厌血脉的异兽魂种，我【神话五禽戏】的最后一禽，也该补齐了吧…”,浊世武尊,3.79万,37900,1601,1601,340700,34.07万,298.4887368120901,0.04224162950845624,0.0004776005349125991,1.0
乘风御剑,https://www.qidian.com/book/1046673309/,玄幻,2025-12-17 17:26:54,True,3329,16,2,签约,qidian_cookie_detail,连载,东方玄幻,每当我受到迫害、压榨时，我都会感到发自内心的高兴、喜悦，因为，还有人敢迫害我、压榨我，只能证明一个问题，我不够强！还有人，比我更强！我，还不是真正的无敌！我的前方，还有路！这……是何等的令人喜悦口牙。,天下无敌！,6.16万,61600,1860,1860,567400,56.74万,57.65500519570488,0.030194315027353452,0.0006006006006006006,1.0
平层,https://www.qidian.com/book/1046310214/,玄幻,2025-12-17 17:26:54,True,8012,17,35,签约,qidian_cookie_detail,连载,东方玄幻,大禹仙朝，千年传承。明君在位，悍臣满朝。盛世之下，暗流涌动。神魔窥伺，妖孽潜行。连山信觉醒天赋神通“天眼查”，可看穿旁人最不可告人之秘密。于是，大禹第一神探横空出世。“前面忘了，后面忘了，中间也忘了，反正你就是凶手。”“太子，你也不想你的秘密被太子妃知道吧？”“陛下何故造反？”,仙朝鹰犬,3.81万,38100,1187,1187,614100,61.41万,128.37686268226247,0.031154037951759795,0.004367902158991638,1.0
古羲,https://www.qidian.com/book/1038367936/,玄幻,2025-12-17 17:26:54,True,661,18,1,签约,qidian_cookie_detail,连载,东方玄幻,乱世求生，盛世求名。饱经风霜的大禹朝仍处于盛世年间。西北有少年徒步九千里，孤身斩大妖，争一世功名。龙湖，有不世宗师赶赴人间，开宗立派，百世留名。帝都有圣人传道万千，教徒遍布各州，流芳千古。而在青州城内，一座将门世家院落中。有个孩童却整日不务正业，只知下棋作画，垂钓弹琴。多年后——……剑起龙烟三千里，一剑斩尽九洲城！世间万法，唯我，入道也。……继《超神宠兽店》《黑暗王者》《永夜神行》《重启末世》……最新力作，欢迎品尝。【轻松幽默】【武道面板】【艺术大师】【腹黑】,万世之名,1017.94万,10179400,323,323,3496100,349.61万,1.8852856450186817,3.1730747221766784e-05,0.0015105740181268882,1.0
猪三不,https://www.qidian.com/book/1040259451/,玄幻,2025-12-17 17:26:54,True,2797,19,8,签约,qidian_cookie_detail,连载,东方玄幻,许进只是在九盏星灯前拜了几拜，就来到这方能够接引星光入已身的世界，然后，他又在九盏星灯前拜了拜.....******《基因大时代》《造化之王》《掌御星辰》这三本小说，最高订7万+，最低高订3万+，最低均订7600+，本本400万字往上，人品保证，请放心入坑。,星武纪元,4442.64万,44426400,1364,1364,4659100,465.91万,5.990447837913088,3.070246450978552e-05,0.0028591851322373124,1.0
沙拉古斯,https://www.qidian.com/book/1046738077/,玄幻,2025-12-17 17:26:55,True,16728,20,14,签约,qidian_cookie_detail,连载,东方玄幻,拿个碗，填好土，数个一二三四五。种个蛤蟆变火车，种颗毛豆变老虎。种出一身好手艺，一生享福不受苦。万生有行三百六，条条大路谁做主？那位木匠好本事，墨线弹指分阴阳，榫卯环扣镇八荒。这位铁匠有手段，铁火一炉鸣乾坤，锻锤千击裂晨昏。又有裁缝野心大，寸缕回风裁世象，绣针一点连四方。还有厨子心肠狠，铁灶燃狱煮红尘，刃起风雷骨作薪。万生州，千人千面，万生万变。张来福站在人海当中，得意洋洋笑道：“来，跟着咱享福去！”,万生痴魔,7.85万,78500,2637,2637,371700,37.17万,438.2499345035368,0.03359192876523866,0.000836870105804292,1.0
