title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend,lifecycle_stage,is_simulated,core_fan_ratio,sentiment_score,sentiment_intensity,growth_potential,conversion_difficulty,IP_Score,abstract_sentiment,Grade
雪中悍刀行,烽火戏诸侯,玄幻奇幻,,完结,Zongheng,4615353,122877655,10739808,59,15230,56,Maturity,0,0.000123944421596,0.3719206427200986,0.2561587145598026,5.214245430249272e-06,0.8,50.2,0.5,C
祭炼山河,食堂包子,玄幻奇幻,,完结,Zongheng,6898752,411543996,33736783,68,589,0,Maturity,0,1.4311957027525295e-06,0.4999747028585911,5.05942828177286e-05,0.0,0.8,61.1,0.5,C
星辰之主,减肥专家,科幻,,连载,Zongheng,7896999,16788565,3523637,771,3135,3011,Maturity,0,0.0001867342332871,0.5,0.0,0.0008545145670468,0.5,42.2,0.5,C
逆天邪神,火星引力,玄幻奇幻,,连载,Zongheng,7866492,339909624,3866724,3444,71218,7320,Maturity,0,0.0002095203982529,0.2827873294548069,0.4344253410903862,0.0018930748889564,0.8,70.3,0.5,B
最强狂兵,烈焰滔滔,都市,,完结,Zongheng,16822970,207730033,2622758,1357,13313,68,Maturity,0,6.408798835511671e-05,0.8203288566826461,0.6406577133652922,2.592689606631795e-05,0.2,51.0,0.5,C
踏天争仙,三生万物,玄幻奇幻,,完结,Zongheng,8007941,2525363,149037,72,78,2,Maturity,0,3.0886636540316566e-05,0.5,0.0,1.3419396395550129e-05,0.8,40.1,0.5,C
天刑纪,曳光,武侠仙侠,,完结,Zongheng,4984428,2085596,187649,84,331,0,Maturity,0,0.0001587075547193,0.6741400414021713,0.3482800828043426,0.0,0.8,40.2,0.5,C
黑暗圣光,橙色装备,N次元,,完结,Zongheng,1128920,681552,13611,406,180,0,Maturity,0,0.0002641027183505,0.2179338372107608,0.5641323255784783,0.0,0.5,40.1,0.5,C
一世独尊,月如火,玄幻奇幻,,完结,Zongheng,7830380,28780505,243050,216,4467,8,Maturity,0,0.0001552092239101,0.0612470340803271,0.8775059318393457,3.291490263360365e-05,0.8,42.2,0.5,C
一剑倾国,一介白衣,武侠仙侠,,完结,Zongheng,4822439,696979,43265,65,210,0,Maturity,0,0.0003012998938276,0.5977379132062484,0.1954758264124967,0.0,0.8,40.1,0.5,C
天降鬼才,武异,玄幻奇幻,,连载,Zongheng,12504929,1546109,107287,59,319,15,Maturity,0,0.0002063242589466,0.5,0.0,0.0001398106032361,0.8,40.2,0.5,C
剑来,烽火戏诸侯,武侠仙侠,,连载,Zongheng,13059580,353685411,18733387,16591,158296,4038,Maturity,0,0.0004475615748607,0.7077269838410485,0.4154539676820969,0.0002155509724135,0.8,97.3,0.5,S
圣武星辰,乱世狂刀,玄幻奇幻,,完结,Zongheng,5303707,425761289,68415634,2208,2006,0,Maturity,0,4.711560320573061e-06,0.4885137918246874,0.022972416350625,0.0,0.8,69.5,0.5,C
大明春色,西风紧,历史,,完结,Zongheng,3122995,10963557,537011,666,1990,0,Maturity,0,0.0001815104184243,0.7469858927228626,0.4939717854457253,0.0,0.5,41.1,0.5,C
元尊,天蚕土豆,玄幻奇幻,,完结,Zongheng,3792308,859615899,727911,186,17628,68,Maturity,0,2.0506833342659205e-05,0.3712483536090297,0.2575032927819406,9.34178856784886e-05,0.8,73.3,0.5,B
平天策,无罪,武侠仙侠,,完结,Zongheng,3026812,103751195,12674907,192,1674,0,Maturity,0,1.6134753762260245e-05,0.5422977463749498,0.0845954927498995,0.0,0.8,46.6,0.5,C
踏星,随散飘风,科幻,,完结,Zongheng,17017670,130694577,1348831,338,13277,40,Maturity,0,0.0001015879939564,0.987966457344204,0.9759329146884076,2.965528694455648e-05,0.5,48.0,0.5,C
神级奶爸,单王张,都市,,完结,Zongheng,6756263,14327378,100281,93,1454,0,Maturity,0,0.0001014840188146,0.5767606527316492,0.1535213054632984,0.0,0.2,40.9,0.5,C
骑士征程,我爱小豆,玄幻奇幻,,完结,Zongheng,10905704,12255092,189146,769,1707,8,Maturity,0,0.0001392890286511,0.4700459628962687,0.0599080742074625,4.229514610329532e-05,0.8,41.0,0.5,C
猎户出山,阳子下,都市,,完结,Zongheng,6322015,2970652,41977,163,330,1,Maturity,0,0.0001110866870011,0.5748278741986013,0.1496557483972025,2.3822002001048168e-05,0.2,40.2,0.5,C
点道为止,梦入神机,都市,,完结,Zongheng,3016365,410656593,101075472,121,1942,82,Maturity,0,4.729012095200887e-06,0.6175120804903854,0.2350241609807708,8.112749568829621e-07,0.2,75.6,0.5,B
开个诊所来修仙,李闲鱼,都市,,完结,Zongheng,5803731,76846639,4164293,55,843,0,Maturity,0,1.0969900570799192e-05,0.5105409404008887,0.0210818808017774,0.0,0.2,43.7,0.5,C
狂暴逆袭,罗玛,玄幻奇幻,,连载,Zongheng,8090044,5413528,248187,225,874,0,Maturity,0,0.0001614473664036,0.5,0.0,0.0,0.8,40.5,0.5,C
帝道独尊,一叶青天,玄幻奇幻,,完结,Zongheng,7329541,12143205,88189,140,1000,0,Maturity,0,8.235057529288394e-05,0.5765174198877779,0.1530348397755558,0.0,0.8,40.7,0.5,C
我不会武功,轻浮你一笑,玄幻奇幻,,完结,Zongheng,6811749,6251431,50624,107,324,41,Maturity,0,5.182812513996793e-05,0.5,0.0,0.0008098765432098,0.8,40.3,0.5,C
长宁帝军,知白,历史,,完结,Zongheng,5323806,260838748,23363296,2388,2486,0,Maturity,0,9.530792528068747e-06,0.8045853154128741,0.6091706308257483,0.0,0.5,54.6,0.5,C
十方乾坤,神出古异,武侠仙侠,,完结,Zongheng,5602605,24553346,78649,370,733,0,Maturity,0,2.9853363779691626e-05,0.4533206592772581,0.0933586814454837,0.0,0.8,41.1,0.5,C
最强都市修真,俗师,都市,,连载,Zongheng,1324639,6801789,23104,45,40,0,Maturity,0,5.8808049057674525e-06,0.5443581505135546,0.0887163010271092,0.0,0.2,40.2,0.5,C
人间最得意,平生未知寒,武侠仙侠,,完结,Zongheng,3143926,2862190,21051,102,636,5,Maturity,0,0.0002222073928679,0.7461006711959628,0.4922013423919256,0.0002375071252137,0.8,40.3,0.5,C
寻龙迷踪,唐家太公,武侠仙侠,,完结,Zongheng,3191583,141516,4142,153,143,0,Maturity,0,0.001010479306373,0.5,0.0,0.0,0.8,40.1,0.5,C
剑骨,会摔跤的熊猫,武侠仙侠,,完结,Zongheng,4552177,7898655,82676,138,941,0,Maturity,0,0.0001191341919435,0.2598999670254617,0.4802000659490766,0.0,0.8,40.5,0.5,C
迷失蔚蓝,茶叔,科幻,,完结,Zongheng,1020378,525438,9451,65,28,0,Maturity,0,5.328877376822048e-05,0.5670011380699319,0.1340022761398638,0.0,0.5,40.0,0.5,C
一剑独尊,青鸾峰上,玄幻奇幻,,完结,Zongheng,9540676,423149487,20514786,6332,14013,10,Maturity,0,3.311595641113005e-05,0.699382643501387,0.398765287002774,4.874532696829852e-07,0.8,62.9,0.5,C
重生之低调大亨,易水寒春秋,都市,,完结,Zongheng,4795811,3256052,46289,120,81,1,Maturity,0,2.487674494241955e-05,0.5,0.0,2.1602937999567946e-05,0.2,40.2,0.5,C
大侠萧金衍,三观犹在,武侠仙侠,,完结,Zongheng,2132145,5631235,81639,147,462,0,Maturity,0,8.204237932844584e-05,0.6326832694842639,0.2653665389685278,0.0,0.8,40.3,0.5,C
碧海风云之谋定天下,明海山,历史,,完结,Zongheng,1571407,442209,97350,1886,65,0,Maturity,0,0.0001469889871328,0.6802187361342881,0.3604374722685761,0.0,0.5,40.3,0.5,C
医流武神,潇铭,都市,,完结,Zongheng,6243629,3866022,51053,13068,767,0,Maturity,0,0.0001983950949076,0.5985142562295608,0.1970285124591215,0.0,0.2,42.2,0.5,C
覆海惊澜,木拾酒,玄幻奇幻,,完结,Zongheng,1358084,21350,2644,47,9,0,Maturity,0,0.0004215259238443,0.6987214281587018,0.3974428563174035,0.0,0.8,40.0,0.5,C
太平客栈,莫问江湖,武侠仙侠,,完结,Zongheng,5924926,6361181,43783,92,503,0,Maturity,0,7.907335460610936e-05,0.8771345491232182,0.7542690982464364,0.0,0.8,40.4,0.5,C
末日霸权,梦里银河,科幻,,完结,Zongheng,2984318,1270232,11342,70,55,0,Maturity,0,4.329914275569915e-05,0.5,0.0,0.0,0.5,40.1,0.5,C
决不能怂,心情马甲,玄幻奇幻,,完结,Zongheng,2352750,116069,12329,913,39,0,Maturity,0,0.0003360041354355,0.6231106157431987,0.2462212314863974,0.0,0.8,40.1,0.5,C
流浪之城,天府酒客,科幻,,完结,Zongheng,2223360,835532,48213,1924,127,0,Maturity,0,0.0001519987840097,0.4857895916473297,0.0284208167053404,0.0,0.5,40.3,0.5,C
山海横流,逢不识,历史,,完结,Zongheng,1618638,121266,6990,47,64,0,Maturity,0,0.0005277610561818,0.5777163944024286,0.1554327888048572,0.0,0.5,40.0,0.5,C
吞海,他曾是少年,玄幻奇幻,,完结,Zongheng,2217755,1143925,19031,83,173,0,Maturity,0,0.0001512335588141,0.5296976047858193,0.0593952095716385,0.0,0.8,40.1,0.5,C
